EC,EO
-7.64155998838187,3.245065804769931
-6.880636875088593,2.4401668897156124
-6.061881073067931,1.6881413237102323
-5.1570820187565465,0.9972062650190723
-4.141355022931214,0.36968840116892193
-2.9954774419853227,-0.19708101473187548
-1.7079149296638043,-0.7095276787573419
-0.2763692374263165,-1.1764020772448456
1.291291846140683,-1.6072994520625545
2.976822504076614,-2.011260238824136
4.752157387321661,-2.3955575799688913
6.580738134097573,-2.7647569881877367
8.4195431976058,-3.120112446602649
10.221691135938787,-3.459341194973906
11.939429605406374,-3.776793419389009
13.527280989090544,-4.064002302948877
14.94509382971197,-4.310566419404747
16.160747145888127,-4.50528278350362
17.152275402279553,-4.637418459252481
17.909229017472335,-4.697989143825729
18.433155785489003,-4.680913046385363
18.737171619850717,-4.58392740168224
18.844672222121066,-4.409183551242551
18.787310772183027,-4.163466667220256
18.60242191311595,-3.858018019742546
18.33010348510894,-3.5079740003098596
18.010177204004403,-3.1314740655729025
17.67924612090364,-2.7485211938901495
17.36805440448895,-2.3796976987682346
17.09933075815395,-2.04484698688679
16.8862574868552,-1.7618305951270228
16.73165473467402,-1.545460089810803
16.62790980635054,-1.406685838661623
16.557623723475352,-1.3521021561525495
16.494900068876653,-1.3838033273662202
16.407167276488806,-1.4995970847848354
16.25740047204056,-1.6935503149504876
16.006589834187174,-1.956808296679352
15.616292916085259,-2.278598074706515
15.05111281269229,-2.6473031158105536
14.280960114169227,-3.0514860962034134
13.2829770393019,-3.480746409764226
12.043022229271207,-3.926329228091386
10.556635357742493,-4.381444018181416
8.829426246722873,-4.841291041293166
6.876867132314199,-5.302829905006296
4.723509091611436,-5.7643523765315114
2.401690304470759,-6.224936789825167
-0.05015111873521931,-6.68386086145838
-2.589409288356278,-7.14003976001945
-5.1713138032022545,-7.591545480623032
-7.750829357817399,-8.035255262045887
-10.28430228093779,-8.46666869834895
-12.730750935741735,-8.879919963037858
-15.052752314495427,-9.267989632797256
-17.216930206285934,-9.623095191394011
-19.19409496593343,-9.937221115427215
-20.959119084632974,-10.202741398144866
-22.490654277642225,-10.413081787842879
-23.770802827805536,-10.563360231925119
-24.784849720641578,-10.650936454418488
-25.52114475021795,-10.67580310931669
-25.97119432975179,-10.640763247562784
-26.129979971969078,-10.551357498128349
-25.996469147259088,-10.415525877957794
-25.574237339110788,-10.243013644130757
-24.872092975782483,-10.044557484653824
-23.904596858517554,-9.830913510098375
-22.692386845943084,-9.611807749581455
-21.262239222812433,-9.394902313724499
-19.646808562126424,-9.184877023073833
-17.883993298979778,-8.982726159911072
-16.015891189346437,-8.785359828641944
-14.087346724746295,-8.585577393290666
-12.14414417215988,-8.37244841089329
-10.230950645717385,-8.132097334785845
-8.389154214595196,-7.848844885750649
-6.654769000162663,-7.506617455259027
-5.056588849697605,-7.090505107177784
-3.6147595434335953,-6.588333226515375
-2.3399076050831167,-5.992109976238561
-1.2329183351435142,-5.299217644371133
-0.2854025852634589,-4.513230249904413
0.5191679895528878,-3.6442639599478963
1.2037429869982723,-2.7088030276854935
1.7955412294677775,-1.728993489240019
2.3236584944099334,-0.7314558966504371
2.8166457894644736,0.2542752090449608
3.300258752409954,1.1975381399961549
3.7955504235919655,2.0683950002439078
4.317442703438432,2.839389665817274
4.873873306310834,3.487074707910037
5.465576344052906,3.9931980019253883
6.086509498762754,4.345476226849057
6.724883286349957,4.537923913325332
7.36468476007446,4.57075012041322
7.987535906023201,4.449875190006891
8.574698168137065,4.1861489617025684
9.109029121561534,3.794362408848071
9.576709878403292,3.2921391319299267
9.968589259318087,2.6987826433211564
10.281031680790504,2.034149784555378
10.516206981329404,1.3176200596063925
10.681817579704731,0.5672281018859779
10.790316272519368,-0.20098373555455176
10.85771877999592,-0.973354856034402
10.902149036240631,-1.738727355711362
10.942267149595393,-2.4883188294737173
10.995724224664357,-3.2153932151554683
11.077773214074865,-3.914788165504282
11.200144576614532,-4.582356784362711
11.370269222910082,-5.214376582857634
11.590899900427063,-5.806978146929341
11.860148294061462,-6.355652199719529
12.17191945698598,-6.854899680916125
12.516689428337655,-7.29808430402346
12.882542284351732,-7.677524928791767
13.25636514615847,-7.98483151750433
13.625092359373676,-8.211456408251399
13.976887998782725,-8.349411013606105
14.302158511302197,-8.392085423880236
14.594298843495043,-8.335098679630299
14.850098031393586,-8.177098797466165
15.06976235041041,-7.920427527450018
15.256553319604551,-7.571568834698366
15.416080568400005,-7.141313139875621
15.555328403325115,-6.6445922646117985
15.681521676919163,-6.099973730416599
15.800949039739184,-5.528844000367227
15.917863743424444,-4.954349313353286
16.033577300957067,-4.400190337043527
16.145848821082144,-3.8893767981076572
16.248649991567323,-3.4430387784796443
16.332351002973184,-3.0793679585282634
16.384328530450418,-2.812738342657778
16.389950428313455,-2.653044620403622
16.333851909079808,-2.605296368411379
16.20138970699713,-2.6695035984753517
15.980143731787303,-2.840872613877884
15.661328059548776,-3.1103050091775266
15.240975035186919,-3.4651679194006912
